"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","Get Student Information from Student App","SUCCESS","2021-01-11T22:56:30.512Z[Etc/UTC]","0.0","0.36"
"First serenity test","Get all students","SUCCESS","2021-01-11T22:56:31.69Z[Etc/UTC]","0.0","0.43"
"Students CRUD test","Create a New Student","SUCCESS","2021-01-11T22:56:34.303Z[Etc/UTC]","0.0","0.69"
"Students CRUD test","Verify New Student is Created","SUCCESS","2021-01-11T22:56:34.993Z[Etc/UTC]","0.0","0.83"
"Students CRUD test","Update the Student Name and Verify","SUCCESS","2021-01-11T22:56:35.824Z[Etc/UTC]","0.0","0.41"
"Students CRUD test","Delete the Student and Verify","SUCCESS","2021-01-11T22:56:36.239Z[Etc/UTC]","0.0","0.26"
"Students CRUD with steps test","Create a New Student","SUCCESS","2021-01-11T22:56:36.681Z[Etc/UTC]","0.0","0.35"
"Students CRUD with steps test","Verify New Student is Created","SUCCESS","2021-01-11T22:56:37.03Z[Etc/UTC]","0.0","0.35"
"Students CRUD with steps test","Update the Student Name and Verify","SUCCESS","2021-01-11T22:56:37.385Z[Etc/UTC]","0.0","0.38"
"Students CRUD with steps test","Delete the Student and Verify","SUCCESS","2021-01-11T22:56:37.771Z[Etc/UTC]","0.0","0.41"
"Second serenity test","Get all students","SUCCESS","2021-01-11T22:56:38.359Z[Etc/UTC]","0.0","0.43"
