"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a failing test","FAILURE","2021-01-11T22:56:25.135Z[Etc/UTC]","0.0","4.69"
"First serenity test","This is a skipped test","IGNORED","2021-01-11T22:56:30.258Z[Etc/UTC]","0.0","0.25"
"First serenity test","Get Student Information from Student App","SUCCESS","2021-01-11T22:56:30.512Z[Etc/UTC]","0.0","0.36"
"First serenity test","This is a pending test","PENDING","2021-01-11T22:56:30.876Z[Etc/UTC]","0.0","0.27"
"First serenity test","This is a manual test","PENDING","2021-01-11T22:56:31.15Z[Etc/UTC]","0.0","0.17"
"First serenity test","File does not exist","COMPROMISED","2021-01-11T22:56:31.318Z[Etc/UTC]","0.0","0.18"
"First serenity test","This is a error test","ERROR","2021-01-11T22:56:31.507Z[Etc/UTC]","0.0","0.18"
"First serenity test","Get all students","SUCCESS","2021-01-11T22:56:31.69Z[Etc/UTC]","0.0","0.43"
"Students CRUD test","Create a New Student","SUCCESS","2021-01-11T22:56:34.303Z[Etc/UTC]","0.0","0.69"
"Students CRUD test","Verify New Student is Created","SUCCESS","2021-01-11T22:56:34.993Z[Etc/UTC]","0.0","0.83"
"Students CRUD test","Update the Student Name and Verify","SUCCESS","2021-01-11T22:56:35.824Z[Etc/UTC]","0.0","0.41"
"Students CRUD test","Delete the Student and Verify","SUCCESS","2021-01-11T22:56:36.239Z[Etc/UTC]","0.0","0.26"
